Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: clathrin-coated pits (CCP); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2.; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: denoising; sample: fixed COS-7 cell line; structure: F-actin (filamentous actin); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size:  62.6 x 62.6 nm; target microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size:  62.6 x 62.6 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
Task: deconvolution; sample: fixed COS-7 cell line; structure: MT (microtubule); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.35, detection numerical aperture of 1.3; target pixel size: 62.6 x 62.6 nm.
